run_id,policy,hit_rate,miss_rate,avg_similarity,duration_s,C_A,capacity,threshold,q,beta,delta,tau,k_duel,max_active_duels
DuelCache_226b418e,DuelCache,0.25805,0.74195,0.7362006275102496,8.280886888504028,0.7946703488151236,2000,0.85,,0.6,0.05,100.0,8.0,8.0
DuelCache_6575c8d4,DuelCache,0.2541,0.7459,0.6143834892891348,3.5592188835144043,0.9065920226335525,20,0.75,,0.75,0.02,100.0,8.0,8.0
DuelCache_dde5cfc6,DuelCache,0.25345,0.74655,0.6142651599004865,3.6612679958343506,0.9030362893581391,20,0.75,,0.6,0.02,100.0,8.0,8.0
DuelCache_c5977b30,DuelCache,0.2521,0.7479,0.7352876624152064,8.265420198440552,0.7933198528766614,2000,0.85,,0.75,0.05,100.0,8.0,8.0
DuelCache_2fca1b37,DuelCache,0.2516,0.7484,0.6536749064005911,3.921464681625366,0.9014164329767227,200,0.75,,0.6,0.02,200.0,8.0,8.0
DuelCache_0a790ec3,DuelCache,0.24615,0.75385,0.6127821589119732,3.7622857093811035,0.9060069584608078,20,0.75,,0.75,0.05,100.0,8.0,8.0
DuelCache_d25fa2f2,DuelCache,0.24475,0.75525,0.6492686109393835,3.948935031890869,0.9034466538548469,200,0.75,,0.75,0.02,200.0,8.0,8.0
DuelCache_b9419d90,DuelCache,0.23825,0.76175,0.6480453831173479,4.483735084533691,0.9054585006117821,200,0.75,,0.6,0.05,200.0,8.0,8.0
DuelCache_2d1b0b27,DuelCache,0.22545,0.77455,0.6422017147623003,3.932131767272949,0.911323855137825,200,0.75,,0.75,0.05,200.0,8.0,8.0
DuelCache_2dfcd2b6,DuelCache,0.22035,0.77965,0.7126684621959924,6.003905773162842,0.8649870488921785,1000,0.85,,0.6,0.02,100.0,8.0,8.0
DuelCache_daa3460b,DuelCache,0.21945,0.78055,0.7238760217234492,8.228832006454468,0.8068199204881985,2000,0.85,,0.75,0.02,200.0,8.0,8.0
DuelCache_b14ab999,DuelCache,0.2177,0.7823,0.7226448439136147,8.16916823387146,0.8053825428644815,2000,0.85,,0.6,0.02,200.0,8.0,8.0
DuelCache_df0975a5,DuelCache,0.21705,0.78295,0.7134666797935962,6.071735143661499,0.8656233649770402,1000,0.85,,0.6,0.05,100.0,8.0,8.0
DuelCache_dd08fa51,DuelCache,0.21615,0.78385,0.7113214655160904,6.040464878082275,0.8657913273970295,1000,0.85,,0.75,0.02,100.0,8.0,8.0
DuelCache_b4264cd1,DuelCache,0.21565,0.78435,0.7234404252812267,8.079615831375122,0.8065674453775074,2000,0.85,,0.6,0.05,200.0,8.0,8.0
DuelCache_7c823a80,DuelCache,0.2138,0.7862,0.7214313997015357,8.120963096618652,0.8073290934205068,2000,0.85,,0.75,0.05,200.0,8.0,8.0
DuelCache_3db8d84f,DuelCache,0.2058,0.7942,0.7077938632711768,6.111334800720215,0.8708481533169734,1000,0.85,,0.75,0.05,100.0,8.0,8.0
DuelCache_daa16f69,DuelCache,0.20335,0.79665,0.5885854651361704,3.4751317501068115,0.9237756253957748,20,0.75,,0.75,0.05,200.0,8.0,8.0
DuelCache_f04b988c,DuelCache,0.1949,0.8051,0.5885091689188033,3.608994960784912,0.925836440372467,20,0.75,,0.6,0.05,200.0,8.0,8.0
DuelCache_209fd811,DuelCache,0.18635,0.81365,0.5820308146432042,3.4625840187072754,0.9279356455922126,20,0.75,,0.75,0.02,200.0,8.0,8.0
DuelCache_4ffafea8,DuelCache,0.1812,0.8188,0.5834829071879387,3.4557719230651855,0.9385685836315155,20,0.75,,0.6,0.02,200.0,8.0,8.0
DuelCache_a394be39,DuelCache,0.17825,0.82175,0.6628183289438486,4.683484792709351,0.9232288553913428,200,0.85,,0.75,0.02,100.0,8.0,8.0
DuelCache_9399fdc8,DuelCache,0.1738,0.8262,0.6623629338391125,4.024878978729248,0.9289866162975617,200,0.85,,0.75,0.05,100.0,8.0,8.0
DuelCache_87e8b1f0,DuelCache,0.1715,0.8285,0.6636342340104282,3.9740331172943115,0.9278432549635592,200,0.85,,0.6,0.02,100.0,8.0,8.0
DuelCache_fa6b14fa,DuelCache,0.17095,0.82905,0.6949102834999561,5.990216016769409,0.8803361927032458,1000,0.85,,0.6,0.02,200.0,8.0,8.0
DuelCache_0012171c,DuelCache,0.16995,0.83005,0.6957795356377959,6.017513036727905,0.8802913206617028,1000,0.85,,0.75,0.05,200.0,8.0,8.0
DuelCache_2f7718eb,DuelCache,0.169,0.831,0.6638828093871474,3.973829746246338,0.9315104202111535,200,0.85,,0.6,0.05,100.0,8.0,8.0
DuelCache_a439142c,DuelCache,0.1678,0.8322,0.6951101750358939,5.923446893692017,0.881606270805995,1000,0.85,,0.6,0.05,200.0,8.0,8.0
DuelCache_ea34bff6,DuelCache,0.1667,0.8333,0.6936412868767977,5.962967157363892,0.8838195423285149,1000,0.85,,0.75,0.02,200.0,8.0,8.0
DuelCache_2afb7b8b,DuelCache,0.1582,0.8418,0.600384920231998,3.466344118118286,0.9469235598961534,20,0.85,,0.6,0.02,100.0,8.0,8.0
DuelCache_e870a955,DuelCache,0.15705,0.84295,0.6031980185493827,3.484433889389038,0.94631806416909,20,0.85,,0.6,0.05,100.0,8.0,8.0
DuelCache_1f1b01c5,DuelCache,0.15345,0.84655,0.5987636257648468,3.4630320072174072,0.9476607998212178,20,0.85,,0.75,0.02,100.0,8.0,8.0
DuelCache_af15bbbe,DuelCache,0.1509,0.8491,0.5937703363358975,3.8119900226593018,0.9475697317838674,20,0.85,,0.75,0.05,100.0,8.0,8.0
DuelCache_fb1468f2,DuelCache,0.12975,0.87025,0.6445840356685221,3.8872838020324707,0.9428230971495334,200,0.85,,0.75,0.05,200.0,8.0,8.0
DuelCache_21601f6d,DuelCache,0.12835,0.87165,0.6491439611248672,3.899369955062866,0.945748737633227,200,0.85,,0.6,0.05,200.0,8.0,8.0
DuelCache_a687758b,DuelCache,0.1271,0.8729,0.647800987585634,3.928039789199829,0.9437608082175273,200,0.85,,0.6,0.02,200.0,8.0,8.0
DuelCache_9beb1a22,DuelCache,0.12325,0.87675,0.6427172865852714,3.9313340187072754,0.9410894111037224,200,0.85,,0.75,0.02,200.0,8.0,8.0
DuelCache_7fcc7375,DuelCache,0.10735,0.89265,0.5690711375385523,3.45625901222229,0.9630250478029236,20,0.85,,0.75,0.02,200.0,8.0,8.0
DuelCache_d0eb6f32,DuelCache,0.1071,0.8929,0.5788412176094949,3.4078590869903564,0.9604162025769547,20,0.85,,0.6,0.05,200.0,8.0,8.0
DuelCache_4d6ade36,DuelCache,0.10575,0.89425,0.5739677966453135,3.576890230178833,0.960229799358048,20,0.85,,0.6,0.02,200.0,8.0,8.0
DuelCache_fd1c065d,DuelCache,0.09545,0.90455,0.569283599384874,3.43654465675354,0.9659377916614198,20,0.85,,0.75,0.05,200.0,8.0,8.0
LFUCache_59d4a717,LFUCache,0.773,0.227,0.7328543141201138,5.382046937942505,0.6187695654290088,2000,0.65,,,,,,
LFUCache_5fc7b447,LFUCache,0.68095,0.31905,0.709711210873723,4.069624185562134,0.710253833350116,1000,0.65,,,,,,
LFUCache_e0c8cb77,LFUCache,0.57975,0.42025,0.7678725175827742,6.23022985458374,0.6461138015508652,2000,0.75,,,,,,
LFUCache_705d674a,LFUCache,0.46735,0.53265,0.7344842714101076,4.33127498626709,0.7474355225682259,1000,0.75,,,,,,
LFUCache_9d38bded,LFUCache,0.4507,0.5493,0.6464781019680202,2.616672992706299,0.8395311911753248,200,0.65,,,,,,
LFUCache_2c9fec4f,LFUCache,0.4132,0.5868,0.7850702246204019,6.6551690101623535,0.6898744689305604,2000,0.85,,,,,,
LFUCache_4f141b35,LFUCache,0.31955,0.68045,0.7475991292983294,4.530055999755859,0.7881892198443389,1000,0.85,,,,,,
LFUCache_cb0da86d,LFUCache,0.2577,0.7423,0.6601250101640821,2.6604502201080322,0.8788107242584229,200,0.75,,,,,,
LFUCache_33110753,LFUCache,0.2117,0.7883,0.5629550254233181,2.124628782272339,0.9209869702764909,20,0.65,,,,,,
LFUCache_e8a86eaf,LFUCache,0.1546,0.8454,0.6649744460582733,2.7228329181671143,0.9098886091748882,200,0.85,,,,,,
LFUCache_16d554dd,LFUCache,0.1122,0.8878,0.5751767586067319,2.2268810272216797,0.9391747955322266,20,0.75,,,,,,
LFUCache_ef7074e5,LFUCache,0.06995,0.93005,0.56404553784132,2.2206850051879883,0.9531787739078209,20,0.85,,,,,,
LRUCache_3fcaa834,LRUCache,0.78795,0.21205,0.7376521888747811,5.206082105636597,0.6076799702184559,2000,0.65,,,,,,
LRUCache_d5d5d58f,LRUCache,0.7738,0.2262,0.7362734853893519,3.9460370540618896,0.6554192391497775,1000,0.65,,,,,,
LRUCache_1325a359,LRUCache,0.7261,0.2739,0.7333907194331288,2.5495810508728027,0.6787715180584383,200,0.65,,,,,,
LRUCache_f68e270c,LRUCache,0.6557,0.3443,0.7191820211946964,2.101778268814087,0.6677447766883022,20,0.65,,,,,,
LRUCache_64be6821,LRUCache,0.65565,0.34435,0.7877563891291618,5.985137939453125,0.6044646863937377,2000,0.75,,,,,,
LRUCache_7085a285,LRUCache,0.64295,0.35705,0.7844670527085662,4.227862119674683,0.6507031967282295,1000,0.75,,,,,,
LRUCache_7b053122,LRUCache,0.6199,0.3801,0.7739322016216814,2.6007778644561768,0.6820261837244034,200,0.75,,,,,,
LRUCache_8dc7deff,LRUCache,0.56405,0.43595,0.7428843550823628,2.0871810913085938,0.6918672639846801,20,0.75,,,,,,
LRUCache_ebaf3cd7,LRUCache,0.5172,0.4828,0.8184161810725927,6.484501838684082,0.631046487776438,2000,0.85,,,,,,
LRUCache_fcf84ef3,LRUCache,0.5103,0.4897,0.812003117583692,4.421777248382568,0.6834496528824163,1000,0.85,,,,,,
LRUCache_fdca4e21,LRUCache,0.4994,0.5006,0.7972453154094518,2.6156580448150635,0.723346176083882,200,0.85,,,,,,
LRUCache_fa5f619a,LRUCache,0.4592,0.5408,0.7568033943533897,2.126336097717285,0.7382301983118045,20,0.85,,,,,,
QLRUDeltaCCache_4481650f,QLRUDeltaCCache,0.7773,0.2227,0.7748349387281024,5.433024883270264,0.5402795449733748,2000,0.65,0.4,,,,,
QLRUDeltaCCache_67d35873,QLRUDeltaCCache,0.7578,0.2422,0.7711559063411068,4.01478910446167,0.5918852746009824,1000,0.65,0.4,,,,,
QLRUDeltaCCache_a76b127f,QLRUDeltaCCache,0.7011,0.2989,0.7391298827497954,4.508432149887085,0.5940844267811074,2000,0.65,0.2,,,,,
QLRUDeltaCCache_9c9f987c,QLRUDeltaCCache,0.6944,0.3056,0.7366807750097972,3.7251100540161133,0.6447845478074906,1000,0.65,0.2,,,,,
QLRUDeltaCCache_4bd64d3c,QLRUDeltaCCache,0.68815,0.31185,0.7506398843287754,2.5305540561676025,0.6525288296290819,200,0.65,0.4,,,,,
QLRUDeltaCCache_108947bb,QLRUDeltaCCache,0.61835,0.38165,0.7048542391339495,3.3608858585357666,0.6999141143832869,1000,0.65,0.1,,,,,
QLRUDeltaCCache_f129dafb,QLRUDeltaCCache,0.61405,0.38595,0.7148357822855435,2.4753739833831787,0.7075980184929718,200,0.65,0.2,,,,,
QLRUDeltaCCache_cff8e81f,QLRUDeltaCCache,0.60675,0.39325,0.7044948726446882,3.5647380352020264,0.6744205964718565,2000,0.65,0.1,,,,,
QLRUDeltaCCache_e398fc48,QLRUDeltaCCache,0.5846,0.4154,0.7827968038054155,5.705343008041382,0.6074098223924637,2000,0.75,0.4,,,,,
QLRUDeltaCCache_75c36bb6,QLRUDeltaCCache,0.5667,0.4333,0.7760572685462915,4.1431989669799805,0.6610888756036758,1000,0.75,0.4,,,,,
QLRUDeltaCCache_7f915abf,QLRUDeltaCCache,0.56635,0.43365,0.7039888192998078,2.0681447982788086,0.6980074860555803,20,0.65,0.4,,,,,
QLRUDeltaCCache_57f3868e,QLRUDeltaCCache,0.5532,0.4468,0.6841793350582869,2.4016940593719482,0.7605196960261874,200,0.65,0.1,,,,,
QLRUDeltaCCache_30bbb2a0,QLRUDeltaCCache,0.5271,0.4729,0.7554229545923488,2.548670768737793,0.7129304811358452,200,0.75,0.4,,,,,
QLRUDeltaCCache_49d1d262,QLRUDeltaCCache,0.4888,0.5112,0.6661843957286594,2.0434422492980957,0.7505444612128429,20,0.65,0.2,,,,,
QLRUDeltaCCache_45c9b273,QLRUDeltaCCache,0.481,0.519,0.7449134372413927,3.747148036956787,0.7132770988941193,1000,0.75,0.2,,,,,
QLRUDeltaCCache_2e1eee15,QLRUDeltaCCache,0.47965,0.52035,0.7460270861195875,4.836299657821655,0.6683510491371155,2000,0.75,0.2,,,,,
QLRUDeltaCCache_ac147cb9,QLRUDeltaCCache,0.45195,0.54805,0.7059933322280905,2.1199951171875,0.7471635242342949,20,0.75,0.4,,,,,
QLRUDeltaCCache_947eec78,QLRUDeltaCCache,0.4283,0.5717,0.7183748945736147,2.5019679069519043,0.7708972654342652,200,0.75,0.2,,,,,
QLRUDeltaCCache_a1bf6456,QLRUDeltaCCache,0.41145,0.58855,0.7871462236789957,5.77558708190918,0.6776578631877903,2000,0.85,0.4,,,,,
QLRUDeltaCCache_c1ed0059,QLRUDeltaCCache,0.4087,0.5913,0.7804149917586285,4.18500018119812,0.7319841777364406,1000,0.85,0.4,,,,,
QLRUDeltaCCache_b4ec7c8f,QLRUDeltaCCache,0.4018,0.5982,0.6294284790760284,2.0842480659484863,0.8101780063509942,20,0.65,0.1,,,,,
QLRUDeltaCCache_8872fa8c,QLRUDeltaCCache,0.3903,0.6097,0.7594624438567891,2.5869171619415283,0.7745697519699714,200,0.85,0.4,,,,,
QLRUDeltaCCache_b7c4c264,QLRUDeltaCCache,0.37615,0.62385,0.7086322175877037,3.6606647968292236,0.7446774287581444,2000,0.75,0.1,,,,,
QLRUDeltaCCache_f0220190,QLRUDeltaCCache,0.37605,0.62395,0.7071320393320286,3.3530070781707764,0.77765431432724,1000,0.75,0.1,,,,,
QLRUDeltaCCache_823311ec,QLRUDeltaCCache,0.36055,0.63945,0.668805547089145,2.088153123855591,0.7977951189398765,20,0.75,0.2,,,,,
QLRUDeltaCCache_00f44076,QLRUDeltaCCache,0.34615,0.65385,0.6883950112261275,2.418236017227173,0.8238532671451568,200,0.75,0.1,,,,,
QLRUDeltaCCache_dfef0f51,QLRUDeltaCCache,0.3428,0.6572,0.7042378012977487,2.1429800987243652,0.803729585802556,20,0.85,0.4,,,,,
QLRUDeltaCCache_10ad44a9,QLRUDeltaCCache,0.31315,0.68685,0.7520563315229248,4.88189697265625,0.7350333752075813,2000,0.85,0.2,,,,,
QLRUDeltaCCache_b37d6e22,QLRUDeltaCCache,0.3123,0.6877,0.747287356844991,3.885690927505493,0.7837154452760992,1000,0.85,0.2,,,,,
QLRUDeltaCCache_bae6ed15,QLRUDeltaCCache,0.2919,0.7081,0.7212063487311996,2.4891200065612793,0.834754612000782,200,0.85,0.2,,,,,
QLRUDeltaCCache_31036940,QLRUDeltaCCache,0.2689,0.7311,0.6282767441263728,2.0240015983581543,0.8622963583230973,20,0.75,0.1,,,,,
QLRUDeltaCCache_bcf8aa07,QLRUDeltaCCache,0.25065,0.74935,0.6630871721916469,2.088364601135254,0.8585260800043732,20,0.85,0.2,,,,,
QLRUDeltaCCache_9b183d93,QLRUDeltaCCache,0.23125,0.76875,0.7174509936029558,3.827702045440674,0.7943621221025768,2000,0.85,0.1,,,,,
QLRUDeltaCCache_66b75457,QLRUDeltaCCache,0.22535,0.77465,0.7127526283098642,3.4698731899261475,0.8361746196468662,1000,0.85,0.1,,,,,
QLRUDeltaCCache_d5b25783,QLRUDeltaCCache,0.2159,0.7841,0.6912476616677536,2.4391801357269287,0.8791548150738075,200,0.85,0.1,,,,,
QLRUDeltaCCache_88eaacf5,QLRUDeltaCCache,0.177,0.823,0.6257071650651669,2.0791690349578857,0.9025145747701304,20,0.85,0.1,,,,,
